source,target
Yingzi,SarahChen
YouMei,CuiJian
YouMei,MavisFan
YuanYawei,EttaJames
YuanYawei,GnarlsBarkley
YuanYawei,LiuHuan
YuanYawei,SarahChen
YuBo,DavidTao
YuBo,HungMingYu
YuFeng,BrianMcKnight
YuFeng,BrunoMars
YuFeng,Dikeniuzai
YuFeng,SandyLam
YuFeng,YangKun
YuJunyi,MavisFan
YunJie,ErgunaBand
YunJie,Tengger
ZhangBichen,AskaYang
ZhangBichen,GEM
ZhangBichen,JeffChang
ZhangBichen,JJLin
ZhangBichen,NatashaNa
ZhangBichen,TeresaTeng
ZhangBolin,MichaelBuble
ZhangBolin,BlakeTollison
ZhangDandan,WangFeng
ZhangHengyuan,GALA
ZhangHengyuan,WangFeng
ZhangHengyuan,Zhinanzhen
ZhangHengyuan,Ziyue
ZhangHexuan,CuiJian
ZhangHexuan,DavidWong
ZhangHexuan,WangFeng
ZhangJiaming,BobDylan
ZhangJiang,GEM
ZhangJiang,JordanChan
ZhangJingyi,Erbai
ZhangJingyi,SongDongYe
ZhangLei,MaDi
ZhangLei,NaYing
ZhangLei,LaoLang
ZhangLei,JingGangshan
ZhangLei,MaDi
ZhangLei,LiJian
ZhangLei,XuWei
ZhangMu,FayeWong
ZhangMu,OneRepublic
ZhangNan,StephanieSun
ZhangNan,TianKong
ZhangTeng,RockMafia
ZhangWei,HuangLing
ZhangWei,MichaelJackson
ZhangWei,RobertZollitsch
ZhangWei,SamCooke
ZhangWeiqi,SkyWu
ZhangXin,AliciaKeys
ZhangXin,A-mei
ZhangXinxin,BuYi
ZhangXinxin,WangFeng
ZhangXinxin,MaTiao
ZhangXinyi,FishLeong
ZhangXinyi,TaiAiling
ZhangYiya,JoeYamanaka
ZhangZhiyong,A-mei
ZhangZhuohanwei,KarenMok
ZhangZhuohanwei,AndyLau
ZhangZhuohanwei,WinnieHsin
ZhanXiaoli,LiuHuan
ZhaoHan,JessLee
ZhaoHan,SteelHeart
ZhaoKe1,GraceChang
ZhaoKe3,JackyCheung
ZhaoLu,ChiefChao
ZhaoQi,JoeCocker
ZhengHong,Adele
ZhengJunshu,Westlife
ZhouLihu,XiaoHuDui
ZhouShen,ChyiYu
ZhouShiying,A-mei
ZhouXiaoxiao,MayDay
ZhuKe,DavidHuang
ZhuKe,LiuHuan
ZhuKe,Ta-yuLo
ZhuKe,XiongTianping
ZhuoYifeng,ChangYu-sheng
ZhuQiang,AnsonHu
ZhuQiang,HuoZun
ZhuQiang,JayChow
ZhuQiang,TeresaTeng
ZouHongyu,CarlosEleta
ZouHongyu,LouisArmstrong
